crash_id,crash_event,crash_type,number_fatalities
939,20245046,Single,2
940,20241156,Single,1
941,20243093,Multiple,1
942,20243125,Single,1
943,20243134,Single,1
944,20242239,Multiple,1
945,20241232,Single,1
946,20241061,Single,1
947,20245025,Single,1
948,20247021,Single,1
949,20244056,Single,1
950,20242039,Single,1
951,20241182,Multiple,1
952,20241044,Multiple,1
953,20245154,Single,1
954,20242131,Single,1
955,20244031,Multiple,2
956,20247044,Single,1
957,20242059,Multiple,1
958,20245118,Single,1
959,20245022,Single,1
960,20242033,Single,1
961,20243033,Multiple,1
962,20241207,Single,1
963,20242159,Multiple,1
964,20243177,Single,1
965,20243241,Single,1
966,20245128,Single,1
967,20243132,Single,1
968,20245003,Multiple,2
969,20245020,Single,1
970,20243159,Single,1
971,20243028,Single,1
972,20242072,Single,1
973,20243105,Multiple,1
974,20245168,Single,1
975,20242258,Multiple,1
976,20241007,Single,1
977,20247037,Single,2
978,20245095,Multiple,1
979,20241227,Single,1
980,20242185,Single,1
981,20243130,Single,1
982,20242065,Multiple,1
983,20243259,Multiple,1
984,20244052,Single,1
985,20242247,Single,2
986,20241093,Single,1
987,20241276,Single,1
988,20247014,Single,1
989,20242208,Single,1
990,20241157,Multiple,1
991,20244065,Multiple,1
992,20242054,Multiple,1
993,20242221,Multiple,1
994,20242197,Single,1
995,20241075,Multiple,1
996,20241279,Single,1
997,20243095,Single,1
998,20243272,Single,1
999,20243027,Single,1
1000,20248001,Multiple,1
1001,20245089,Single,1
1002,20242228,Multiple,1
1003,20242105,Single,1
1004,20241069,Single,1
1005,20244074,Multiple,2
1006,20244008,Multiple,1
1007,20243100,Multiple,1
1008,20241122,Multiple,1
1009,20244064,Single,1
1010,20243138,Multiple,1
1011,20241141,Multiple,1
1012,20241244,Multiple,1
1013,20242236,Single,1
1014,20242195,Single,1
1015,20245026,Single,1
1016,20245122,Single,1
1017,20242010,Single,1
1018,20242205,Single,1
1019,20244002,Single,1
1020,20242041,Multiple,1
1021,20242084,Single,1
1022,20243230,Single,1
1023,20241114,Multiple,1
1024,20243068,Multiple,1
1025,20243099,Single,1
1026,20242145,Multiple,1
1027,20243062,Multiple,1
1028,20244048,Multiple,1
1029,20241112,Multiple,1
1030,20243047,Multiple,1
1031,20245109,Single,1
1032,20242198,Multiple,1
1033,20243202,Single,2
1034,20244029,Single,1
1035,20241185,Single,4
1036,20242153,Single,1
1037,20243257,Single,1
1038,20243149,Multiple,1
1039,20242202,Single,1
1040,20243245,Single,1
1041,20244004,Multiple,1
1042,20241123,Single,1
1043,20242222,Single,1
1044,20242248,Multiple,1
1045,20245146,Single,1
1046,20245082,Single,1
1047,20242267,Single,1
1048,20241213,Multiple,3
1049,20242220,Multiple,1
1050,20242036,Multiple,1
1051,20242047,Single,1
1052,20243270,Single,1
1053,20241121,Single,1
1054,20243016,Multiple,1
1055,20241038,Single,1
1056,20243200,Multiple,1
1057,20243039,Single,1
1058,20245137,Single,2
1059,20242246,Single,1
